ciudad;Latitude;Longitude;;
Bogotá;47491231;-740953052;;|
Cundinamarca;4710703;-741119523;;
Bogotá;47377259;-740863026;;
Bogotá;46531882;-741099341;;
Bogotá;46473986;-741019189;;
Cundinamarca;47200589;-740682919;;
Cundinamarca;47386546;-740851418;;
Bogotá;47288461;-740408904;;
Bogotá;47386548;-740862263;;
Cundinamarca;47231045;-740621947;;
Bogotá;47499845;-740596285;;
Cundinamarca;4732166;-740424024;;
Cundinamarca;46831637;-741165654;;
Bogotá;47293918;-740681716;;
Bogotá;47021426;-740411165;;
Bogotá;47362902;-74049816;;
Bogotá;47409716;-740641785;;
Bogotá;47082896;-7407134;;
Bogotá;47121946;-740716153;;
Bogotá;46321568;-741156238;;
Cundinamarca;46427765;-740751015;;
Cundinamarca;47343409;-741076561;;
Bogotá;47114729;-74073245;;
Bogotá;47007361;-741152776;;
Bogotá;47612141;-74043679;;
Bogotá;47113423;-740724953;;
Bogotá;47423977;-740849489;;
Bogotá;47257726;-740910434;;
Cundinamarca;46962852;-740917131;;
Bogotá;47277874;-740651701;;
Bogotá;4646801;-741032619;;
Bogotá;46468584;-741029443;;
Bogotá;4666848;-740525726;;
Cundinamarca;46570332;-740576691;;
Bogotá;46663214;-740837807;;
Bogotá;46663214;-740837807;;
Bogotá;46429534;-740740576;;
Bogotá;46935057;-740625158;;
Cundinamarca;46525882;-741601199;;
Cundinamarca;46988913;-740565065;;
Bogotá;46363452;-741004551;;
Bogotá;47226707;-74046194;;
Cundinamarca;47443815;-740921535;;
Bogotá;47250437;-741338397;;
Bogotá;47404418;-740851976;;
Bogotá;4751073;-740941462;;
Bogotá;47456398;-740959942;;
Bogotá;47372979;-740843552;;
Cundinamarca;47234327;-7402696;;
Cundinamarca;47655923;-740471887;;
Bogotá;47369137;-740230798;;
Bogotá;46569521;-740578046;;
Cundinamarca;46660763;-740558737;;
Bogotá;47049309;-741035213;;
Bogotá;46716704;-741227343;;
Bogotá;47292127;-740662024;;
Cundinamarca;47548102;-741068655;;
Bogotá;4737866;-740863483;;
Cundinamarca;46935546;-740329587;;
Bogotá;46485;-740639;;
Cundinamarca;48851864;-74034815;;
Bogotá;4766852;-74050004;;
Bogotá;4720417;-740390613;;
Bogotá;46716271;-741531476;;
Bogotá;4710674;-740536385;;
Bogotá;46878399;-74081213;;
Bogotá;4668214;-741103209;;
Bogotá;46533192;-741101482;;
Bogotá;47485447;-740488886;;
Bogotá;46393272;-740977592;;
Cundinamarca;47040062;-741038908;;
Bogotá;47501369;-740884617;;
Bogotá;4708251;-741050508;;
Bogotá;47441883;-740843092;;
Bogotá;4762296;-74042436;;
Bogotá;47043033;-741254172;;
Bogotá;47233597;-741144481;;
Cundinamarca;47158836;-740546635;;
Cundinamarca;46967137;-740308614;;
Bogotá;4751944;-740508444;;
Bogotá;47078292;-741045526;;
Bogotá;47506441;-740474167;;
Cundinamarca;46268408;-740659413;;
Bogotá;46965514;-740428432;;
Bogotá;47340644;-740560255;;
Bogotá;46657183;-741362559;;
Cundinamarca;46771455;-740513296;;
Cundinamarca;47195443;-74036175;;
Bogotá;47053755;-741084059;;
Bogotá;46916651;-740749365;;
Bogotá;47166501;-741028532;;
